질문번호,질문내용,답변,응답 수
q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,1.0,746
q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,2.0,150
q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,3.0,47
q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,4.0,41
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,2.0,708
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,3.0,125
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,1.0,74
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,4.0,70
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,5.0,6
q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,6.0,1
q9_2_op,9-2. (기타 오픈응답),교회 봉사활동,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,50.0,220
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,100.0,163
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,30.0,152
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,20.0,56
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,40.0,52
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,60.0,48
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,200.0,44
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,70.0,35
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,80.0,34
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,150.0,27
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,300.0,24
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,120.0,14
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,400.0,12
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,25.0,12
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,500.0,11
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,250.0,10
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,10.0,9
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,35.0,9
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,90.0,6
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,15.0,5
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,1000.0,5
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,600.0,3
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,350.0,3
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,130.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,700.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,45.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,800.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,18.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,55.0,2
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,54.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,19.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,440.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,3.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,2.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,180.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,117.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,16.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,110.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,160.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,13.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,23.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,85.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,1200.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,140.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,41.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,29.0,1
q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,26.0,1
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,1.0,388
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,3.0,262
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,2.0,193
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,4.0,79
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,5.0,44
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,6.0,10
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,7.0,7
q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,8.0,1
q9_5_op,9-5. (기타 오픈응답),종교활동,1
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,1.0,325
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,3.0,158
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,9.0,86
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,6.0,50
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,4.0,50
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,2.0,46
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,7.0,37
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,5.0,21
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,8.0,13
q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,10.0,11
q10_op,10. (기타 오픈응답),아이 방학이 짧고 애매함,1
q10_op,10. (기타 오픈응답),별로 안좋아항,1
q10_op,10. (기타 오픈응답),더워서,1
q10_op,10. (기타 오픈응답),아이가 아파서,1
q10_op,10. (기타 오픈응답),집에 있는 시간이 더 좋아서,1
q10_op,10. (기타 오픈응답),휴가 계획이 없어서,1
q10_op,10. (기타 오픈응답),너무 더움,1
q10_op,10. (기타 오픈응답),업무가 많아서,1
q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)",1.0,434
q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)",2.0,337
q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)",4.0,303
q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)",3.0,262
